chest,lung,lungs,brain,abdominal,coronal,artery,lobe,tumor,liver
coronal contrast chest ct image showing the two aberrant arteries (white arrow) arising directly from the thoracic aorta and the left lower lobe cystic lesion.,"computed tomography scan obtained on december 24, 2014 (7 days before treatment).notes: scan demonstrates a mass in the upper lobe of the left lung, multiple enlarged lymph nodes in the mediastinum, and pleural effusion; arrow indicates abundant pericardial effusion around the pericardium.",,mri of the brain showing no mass or enhancing lesion.,abdominal ct scan showing pancreatic pseudocyst,"solid—cystic teratoma containing different types of tissue like fat, albuminous liquid and other solid parts (mri, t1-gradient echo sequence, coronal).","pancreatic pseudoaneurysm (arrow) visualized in color doppler examination – a result of the damage of pancreaticoduodenal artery, a complication of ap","a 3-year-old child with visual difficulties. axial flair image show a supra-sellar lesion extending to the temporal lobes along the optic tracts (arrows) with moderate mass effect, compatible with optic glioma. flair hyperintensity is also noted in the left mesencephalon from additional tumoral involvement",cardiac catheterization showing normal coronaries and a tumor blush.,"child with abduction and flexion of right lower extremity and hyperextension of the tibia on the femur, associated with dislocation of the left hip, probably the result of the dangerous position of adduction in production of pathological dislocation. a roentgenogram of the mother’s pelvis, one week before delivery, showed this same deformity in utero."
chest radiography shows a mass on the right lower mediastinum,destroid lung due to progressive pulmonary tuberculosis in a 16-year-old boy. ct scan (lung window) shows diffuse bilateral small and large air-filled cystic lesions (black arrows) associated with ground-glass attenuation and disseminated miliary micronodular lesions on the right (white arrows).,,brain ct obtained 6 days after cerebral angiography shows improved sulcal obliteration of right cerebral hemisphere. ct = computed tomography.,free air beneath the diaphragm at abdominal x-ray film,"ct scan of abdomen and pelvis with iv contrast coronal section showing perinephric hematoma, nonobtructive lower pole 6 mm stone and 1.1 cm obstructive proximal ureteral stone (arrow heads). marked left perinephric stranding with extension of extracapsular hematoma to distal aorta, iliac vessels, and presacral space was noted.",collateral circulation from the conus artery to the left anterior descending artery,contrast mri head axial section showing an irregularly enhancing mass in the right medial temporal lobe anteriorly in the close proximity to the cavernous sinus and oculomotor nerve (arrow).,"18-year-old woman with venous tumor thrombus. axial t1w fat-saturated, postcontrast mr image of the pelvis.",focal steatosis of the liver parenchyma
radiation-induced liver disease: a 21-year-old woman with lymphoma of the right anterior chest wall. the patient received 39.6 gy to the right chest wall. ct obtained 5 weeks after the completion of radiation therapy shows a well-defined area of low attenuation in the liver with a sharp demarcation between the area of radiation and the normal liver. this is consistent with the straight-border sign of radiation change.,transverse view of lung using computed tomography. leukemic infiltration is seen.,,follow-up brain magnetic resonance imaging - fluid attenuated inversion recovery sequencing showed resolution of bilateral occipital lesions with symmetrical putaminal high signal abnormalities (black arrows).,coupe axiale d’un scanner abdominal passant par le foie après injection du pc,coronal t1-weighted magnetic resonance imaging showing a tumor with homogenous low-signal intensity and well-defined margins.,magnetic resonance angiography image showing almost complete thrombosis of the basilar artery (arrow). this is an extension from the vertebral artery dissection and thrombosis.,"t1 axial image shows hypointense lesions in the pontine region and at the periphery of the pons. central pontine myelinolysis is a likely diagnosis, however, involvement of the temporal lobe and clinical features makes central pontine myelinolysis unlikely.",intraoperative t2w mr image showing the tumor and the first bbb target,ct image of the liver shows air in the hepatic veins (arrow) and air-contrast level in the inferior vena cava (arrowhead).
"chest x-ray, which confirmed the position of guidewire, extending from the right internal jugular vein up to inferior vena cava",bilateral alveolar pattern in lung fields,,contrast-enhanced axial ct brainmultiple solid enhancing cortical lesions with dense gyriform calcifications are seen in both cerebral hemispheres. ct- computed tomography,abdominal computed tomography reveals an ill-defined hypodense mass approximately 3.0 × 1.6 cm in diameter in the pancreatic tail.,ct fistulogram with coronal reconstruction (posterior to figure 2) showing the bifurcation of the fistula tract; one opening into the external auditory canal (shown by right facing arrow) and other going to retroauricular region (shown by upward arrow).,angiography after catheterization of the innominate artery near the origin of the right common carotid and subclavian arteries demonstrating the occlusion of the brachiocephalic trunk (bold black arrow). note that contrast media is not running along the right vertebral artery due to the retrograde blood flow in the vessel (subclavian-vertebral steal syndrome). concomitant stenosis of the common carotid artery (thin black arrow) is a manifestation of the generalized atherosclerotic disease. stenotic lesions of initial and mid-portion segments in the subclavian artery were not considered to be that significant for acute treatment. in case they progressed we considered endovascular treatment. white arrow: pacemaker wire.,"abdomen doppler ultrasound. a well-defined hypoechoic area (~53×39 mm) at the quadrate lobe of the liver, showing that the internal echo of the mass was heterogeneous.",view of giant cell tumor of thumb metacarpal preoperatively.,"peripherally enhancing, irregular, marginated, subcentimeter lesion in segment iva, and segment vii of liver‐ suspicious of metastasis."
neonatal chest x‐ray of the larger fetus.,axial ct images at the level of the left lung base demonstrates a well-defined 9-mm nodule with fat density (-21 hu) consistent with pulmonary hamartoma,,brain mri: axial section (t2) showing optic nerve glioma.,abdominal ct scan showing an exophytic well-defined round mass in the duodenal bulb. the mass enhanced as gastric mucosa and was presumed to be a duodenal gastrointestinal stromal tumor (gist).,"coronal thoracic spine mri image, t2w. abnormal high signal in t5 and t8 vertebral bodies with right atypical thoracic scoliosis.",right anterior oblique-cranial view of left main coronary artery with an anomalous origin off the right sinus of valsalva with interarterial course.,axial gadolinium-enhanced t1-weighted images revealed a large heterogeneous mass with circumferential rim enhancement surrounded by extensive edema was found in the inferior part of the right temporal lobe. small homogeneous lesions with limited edema could also be seen in the left temporal lobe.,"axial ct image of the lower pelvis. a well-circumscribed solid tumor is seen in the presacral region, with no signs of infiltration, in contact with the posterior wall of the rectum (arrow).",ct scan showing multiple non-communicating cysts in liver and kidney
posteroanterior chest radiograph depicts a solitary pulmonary nodule in the middle third of the right hemithorax (arrow). slight spiculation of its contour can be appreciated.,"- bilateral nodular infiltrates, excavated area with suggestive area of necrosis in the middle third of the right lung and bilateral pleural effusion",,a typical image available on brainweb database,abdominal computed tomography (sagittal reconstruction): a: desmoid-type fibromatosis; b: sigmoid colon involved; c: ileal loop involved.,unicornuate uterus with a single right horn.a coronal image of a unicornuate uterus in a 25-year-old woman shows an almost tubular endometrial cavity (asterisk) and a single right uterine cornu.,nine-year old girl presented with left-side orbital trauma and third cranial nerve palsy with ptosis later diagnosed with left-side dual ophthalmic arteries with external carotid artery (eca) and internal carotid artery (ica) origins. left lateral view angiogram of head shows ophthalmic artery variant (black arrow) and meningo-ophthalmic artery anomaly (white arrow). the ophthalmic artery with internal carotid artery origin (broken arrow) is visible because of injected external carotid artery overflow.,computed tomography with contrast medium (portal phase). the presence of abscess was suspected at the right lobe of the liver.,contrast enhanced computed tomography of abdomen showing the small enhancing periampullary neuroendocrine tumor (arrow),"transversal ct scan, showing the ectopic liver (arrow)."
a chest radiograph shows reticulonodular shadowing with bilateral apical lung fibrosis and high density nodules in coal workers pneumoconiosis,illustrating diffuse bilateral infiltrates of the lung.,,mri image of the brain in an axial view showing the “precontrast flair image”. note the abnormal lesions (circled) in the per ventricular area suggesting white matter pathology.,ct scan of the abdomen with contrast media reveals a large-size intra-abdominal mass displacing the adjacent structures. in the same scan a suspicious lesion is identified in the right adrenal. in some rare cases desmoid tumors may co-exist with adrenal or thyroid carcinomas and adrenal adenomas.,"coronal view of a temporal maximum intensity projection visualizing part of the middle cerebral artery including the m1, m2 and m3 segments. intensity differences from proximal to distal in a nonaffected vessel can reach up to 450 hu and higher. vessel occlusions, vessel wall calcifications, collateral flow, clip and stent artifacts have a large influence on the continuity of intensity values along the vessel.","transthoracic echocardiogram showing patent ductus arteriosus with flow (blue) from the pulmonary artery to the aorta. pa: pulmonary artery, da: ductus arteriosus, and ao: aorta.",magnetic resonance of abdomen showing two lesions within the right lobe of the liver along the peripheral surface (black arrows).,axial mri with contrast showing heterogenous enhancing solid and cystic component of tumor,the picture shows severely injured liver.
"chest x-ray findings. chest radiograph revealed an engorged pulmonary trunk with an abrupt cutoff of pulmonary vascularity in the distal portions bilaterally, indicative of the ""westermark sign"" (arrows).",atypical thymoma in a 55-year-old woman with recurrent lung cancer. a homogenous mass with convex margin is demonstrated within the thymus. left lung nodule (white arrow) represents lung cancer recurrence.,,mri of the brain; hemorrhagic infarction of the left temporal lobe,erect abdominal radiograph. radiograph showing bullet in the upper left quadrant of the abdomen.,late venous confluence of right renal vein in 49-year-old male voluntary kidney donor. coronal maximum intensity projection image shows late venous confluence of right renal vein (white arrow).,"proximal part of left coronary artery in b-mode, modified parasternal short axis view. lm – left main coronary artery. lad prox – proximal part of the left anterior descending coronary artery, cx prox – proximal part of the left circumflex coronary artery, diagonal – proximal part of first diagonal artery",computed tomography (ct) guided needle biopsy of the left upper lobe lesion.,the axial ct scan shows an infiltrating tumor mass with bony destruction of lateral orbital wall and skullbase.,"term female neonate examined at the age of 11 days, body weight 4300 g. the cystic mass in the midline does not show any relationship with the liver and biliary system or the ovaries"
chest ct slide highlighting distant lung metastasis (left paraspinally).,"computed tomography revealing right upper-lung pneumonia, the air–fluid level, and septic embolism",,"axial computed tomography of the brain 13 days after the carotid endarterectomy, demonstrated a new infarct in the white matter of the left frontal lobe (arrow).",plain abdominal x-ray after 3 days,positron emission tomography-computed tomography coronal slice: adenoma of the parathyroid that incidentally took-up 18f-fluorocholine (suvmax 3.4).,us image of a carotid artery with the expert-drawn contours delineating the lib (red solid contour) and mab (yellow hollow point contour).,magnetic resonance imaging (mri) of the cns lesion. mri revealed hyperintense lesions with t2-weighted fluid-attenuated inversion recovery (flair) in the right occipital lobe.,mammography showing breast tumor.,ct-scan of the abdomen showing the liver with iron overload in a patient with sca and multiple blood transfusions.
a computed tomography scan of the chest shows the main pulmonary artery was obstructed circumferentially.,82-year-old male resident near asbestos mine since birth.prone ct reveals parenchymal bands (arrows) extending through lung to contact pleural surface.,,"ten days after initial trauma, follow-up brain computed tomography showed a reappearance of convexity and falx subdural hematoma with severe and diffuse brain swelling.",abdominal ultrasonography shows a large amount of fluid and cysts into the peritoneal cavity (arrow).,contrast-enhanced coronal computed tomography image demonstrates the persistent left superior vena cava (white arrows) and the coarctation connecting from the tubular arch hypoplasia (white arrowhead),color doppler sonography. ulcerated atherosclerotic plaque causing high-grade stenosis of the internal carotid artery,"an axial ct image at the level of the liver with oral and intravenous contrast demonstrates a new 2.2-cm hypodense, solid lesion within the periphery of the right lobe of the liver.","axial t2-weighted image of mri showing hyperintensity at the center and hypointensity at periphery, suggesting peripheral tumor location with central intratumoral hematoma. mri = magnetic resonance imaging.","sant of the spleen: 99mtc-sulfur colloid scan findings. spect ct shows normal tracer activity within the liver and spleen with essentially no activity within the splenic lesion, confirming the absence of reticuloendothelial elements within this abnormality."
