computed tomography and chest,computed tomography and lung,computed tomography and lungs,computed tomography and brain,computed tomography and abdominal,computed tomography and coronal,computed tomography and artery,computed tomography and lobe,computed tomography and tumor,computed tomography and liver
,"computed tomography scan obtained on december 24, 2014 (7 days before treatment).notes: scan demonstrates a mass in the upper lobe of the left lung, multiple enlarged lymph nodes in the mediastinum, and pleural effusion; arrow indicates abundant pericardial effusion around the pericardium.",,,,,,,,
,transverse view of lung using computed tomography. leukemic infiltration is seen.,,,,,,,,
,,,,abdominal computed tomography reveals an ill-defined hypodense mass approximately 3.0 × 1.6 cm in diameter in the pancreatic tail.,,,,,
,,,,abdominal computed tomography (sagittal reconstruction): a: desmoid-type fibromatosis; b: sigmoid colon involved; c: ileal loop involved.,,,,,
,,,,,,,computed tomography with contrast medium (portal phase). the presence of abscess was suspected at the right lobe of the liver.,,
,,,brain ct obtained 6 days after cerebral angiography shows improved sulcal obliteration of right cerebral hemisphere. ct = computed tomography.,,,,,,
a computed tomography scan of the chest shows the main pulmonary artery was obstructed circumferentially.,,,,,,,,,
,,,,,,,,contrast enhanced computed tomography of abdomen showing the small enhancing periampullary neuroendocrine tumor (arrow),
,,,,,,,computed tomography (ct) guided needle biopsy of the left upper lobe lesion.,,
,,,contrast-enhanced axial ct brainmultiple solid enhancing cortical lesions with dense gyriform calcifications are seen in both cerebral hemispheres. ct- computed tomography,,,,,,
,,,,,positron emission tomography-computed tomography coronal slice: adenoma of the parathyroid that incidentally took-up 18f-fluorocholine (suvmax 3.4).,,,,
,,,,,contrast-enhanced coronal computed tomography image demonstrates the persistent left superior vena cava (white arrows) and the coarctation connecting from the tubular arch hypoplasia (white arrowhead),,,,
,,,,,coronal computed tomography of the neck clearly showing the fish impacted in cervical esophagus,,,,
"computed tomography chest demonstrating cavitary lung lesions (yellow arrowheads). (for interpretation of the references to colour in this figure legend, the reader is referred to the web version of this article.)",,,,,,,,,
,,,,,,,,computed tomography scan shows no evidence of tumor recurrence in the right parotid region at 18 months after the third operation.,
,,,,,radiographic image of contrast-enhanced coronal computed tomography scan showing enlarged left parotid gland and well-defined irregular soft tissue enhancing lesion in right buccal space and subcutaneous tissue,,,,
chest computed tomography: bilateral interstitial thickening and bronchiectasis in the right hemithorax.,,,,,,,,,
,,,"axial computed tomography of the brain 13 days after the carotid endarterectomy, demonstrated a new infarct in the white matter of the left frontal lobe (arrow).",,,,,,
,,,,,,,computed tomography guided transthoracic core needle. puncture needle is in the consolidation area of right lower lobe.,,
,,,,,computed tomography of abdomen (coronal view) showing right kidney mid pole mass turned out as renal cell carcinoma upon radical nephrectomy.,,,,
computed tomography scan of chest at 9 years old. the bronchogenic cyst is circled.,,,,,,,,,
,,,,,"coronal 18f-fdg pet/ct image indicating high 18f-fdg uptake in the relatively enlarged right thyroid lobe (maximum standardized uptake value of 8.8). 18f-fdg = 18f-fluorodeoxyglucose, pet/ct = positron emission tomography/computed tomography.",,,,
,"computed tomography revealing right upper-lung pneumonia, the air–fluid level, and septic embolism",,,,,,,,
"chest computed tomography scan (june 25th, 2014) of case 2 showed central lesions in the upper right lung and middle lung mass with obstructive pneumonia. the lesions were considered to be malignant and had metastasized into the bilateral lungs. the scan showed cancerous lymphangitis, multiple lymph node metastasis, and a large amount of pleural effusion in the right lobe.",,,,,,,,,
,computed tomography of left lung mass.,,,,,,,,
,,,"ten days after initial trauma, follow-up brain computed tomography showed a reappearance of convexity and falx subdural hematoma with severe and diffuse brain swelling.",,,,,,
,,,,,,,,peritoneal gastrointestinal stromal tumors in a 40-yearold male — axial contrast-enhanced computed tomography image showing large heterogeneously enhancing mass lesion (arrowhead) with necrosis in the peritoneal cavity,
,,,,,computed tomography (ct) of abdomen (coronal view) showing a colonic mass at the hepatic flexure (size appreciated with the help of a ruler).,,,,
,,,,,computed tomography of the coronal view demonstrating the blockage of the ostiomeatal complex. a medial mass lesion at the lacrimal sac is noted. a bony osteium in the lacrimal bone is apparent from the first initial external dacryocystorhinostomy providing patency into the nasolacrimal duct.,,,,
,,,,abdominal scout image from a computed tomography.,,,,,
,,,,a mass shows hyper intense signal intensity related to adjacent muscle and aorta in coronal image of contrast abdominal computed tomography.,,,,,
,,,,,preoperative findings.coronal view of contrast-enhanced computed tomography revealed wall thickening of the well enhanced terminal ileum and fluid collection with a contrast-enhanced wall at the ventral side of the ascending colon.,,,,
,,,,idiopathic abdominal cocoon in a 24-year-old girl - axial contrast-enhanced computed tomography scan showing membrane (arrows) encapsulating the jejunal loops,,,,,
,,,,"abdominal computed tomography showing multinodular liver, hypertrophied caudate lobe, while hepatic veins are not visualized.",,,,,
,,,,,a: axial contrast-enhanced computed tomography (cect) image of left adrenal tumor b: coronal contrast-enhanced computed tomography (cect) image of left adrenal tumor,,,,
,,,,,,computed tomography scan of the neck: the arrow indicates a soft tissue between the trachea and innominate artery.,,,
,,,,"the abdominal postcontrast enhanced ct scan. this scan revealed no obvious enhancement of the mass, but showed a clear demarcation of the tumor from its surrounding normal tissues and a regular shape of the tumor (arrow). ct = computed tomography.",,,,,
"a 47-year-old man with morbid obesity presented for transurethral resection of a bladder mass. preoperative hypoxemia prompted computed tomography angiography of the chest, which demonstrates multiple filling defects, including in the anterior segmental artery of the left upper lobe (arrow). treatment with anticoagulation was started and the patient underwent surgical removal of the bladder tumor, which revealed urothelial carcinoma with sarcomatoid features. his postoperative course was complicated by persistent hypoxemia and progression of disease, and the patient ultimately expired. autopsy findings demonstrated intravascular tumor thrombi identical on microscopic examination to the previously diagnosed tumor.",,,,,,,,,
,,,,,,computed tomography scan with contrast reveals the cut-off of the left upper lobe of the bronchial artery.,,,
,,,computed tomography of brain (bone window). computed tomography brain scan showing multiple lytic lesions in the calvarium (arrow).,,,,,,
,,,,,"coronal reformatted image of computed tomography, performed eleven months after first ct, revealed collection of fluid surrounding right adductor muscle (red arrow).",,,,
,,,,abdominal computed tomography findings. a 25-mm-long acupuncture needle with high attenuation is seen embedded in the posterior wall of the gastric antrum (white arrowhead).,,,,,
,,,,,computed tomography scan (coronal view) shows the right diaphragm that is pushed down by a moderate pleural effusion to a level lower than the left diaphragm. it shows the effect of the weight of fluid on the diaphragm even when the patient is in the supine position. this is likely to be worse when the patient is in an upright position.,,,,
chest computed tomography scan showing improvement of the interstitial pneumonia.,,,,,,,,,
,high-resolution computed tomography image. no structural abnormality is seen in the lung field by high-resolution computed tomography.,,,,,,,,
,,,,pelvic computed tomography at abdominal distention showing a large mass (arrow) and ascites in the pelvic cavity.,,,,,
,,,computed tomography of the brain of patient g,,,,,,
,"high resolution mdct images showing tracheal bronchus (bronchus suis; arrowheads), to the right upper lobe originating from the right side of trachea. (a) coronal reconstruction in lung windows. (b) coronal minip reconstruction. (c) 3d volume rendering reconstruction. mdct: multi-detector computed tomography; minip: minimal intensity projection. 3d: 3-dimensional.",,,,,,,,
,,,,,coronal reconstructions of a computed tomography (ct) scan of the knee showing an ao 41 b3.1 fracture type.,,,,
,,,,,,computed tomography (axial) demonstrating a large middle cerebral artery infarct and concomitant perilesional edema,,,
,,,,,"distance from the resistance center of the mandibular premolar to its apex (r center-apex) , and distance from the apex to the mandible edge (apex-mand edge). a representative cone-beam computed tomography image of the mandible through the coronal plane is shown.",,,,
a computed tomography scan of the chest showing enlarged paratracheal lymph nodes over the superior anterior mediastinum.,,,,,,,,,
computed tomography of the chest showing the severity of the deformities.,,,,,,,,,
,,,,,"coronal enhanced computed tomography image demonstrates a large gastrorenal shunt (black arrow) and perigastric, as well as, gastric submucosal varices (white arrow) in a patient with liver cirrhosis and portal hypertension.",,,,
,,,,abdominal computed tomography image showing the total absence of the small bowel.,,,,,
,computed tomography scans of the right lower lobe of the lung reveal a round mass approximately 3 cm in diameter.,,,,,,,,
,,,,,,,18-year-old patient's axial computed tomography scans of the liver. arrow indicates the hydatid cyst (diameter 52 mm × 41 mm × 42 mm) located in the left lobe,,
non contrast computed tomography thorax-axial image of upper thorax showing surgical emphysema in right upper chest wall. central venous catheter lying in right lung parenchyma and traversing medially. tip of central venous catheter cannot be visualized,,,,,,,,,
,,,non-contrast brain computed tomography showing subarachnoid hemorrhage over the left frontal and parietal cortex (white arrow),,,,,,
,,,brain computed tomography scan after thoracentesis showing pneumocephalus.,,,,,,
,,,,"contrast enhanced computed tomography scan findings, 1 day after percutaneous endoscopic gastroscopy tube removal. red arrow indicates transverse colon located in anterosuperior site of stomach. a fistular tract between stomach, transverse colon and abdominal wall was also observed.",,,,,
,,,,computed tomography examination showed a right ovarian tumor with a size of 17.3 cm × 16.2 cm ×12.3 cm accompanied by significant abdominal and pelvic fluid,,,,,
,"initial computed tomography (ct) scan of the lungs showing increased lung markings, plaques and nodules of varying sizes.",,,,,,,,
chest computed tomography (ct) (mediastinal window) – enlarged mediastinal lymph nodes (n4r) and infiltrative-atelectatic lesions of the left lung and hilum,,,,,,,,,
,,,,,"coronal reformation computed tomography (ct) image shows segmental wall thickening and dilatation of the small bowel (black arrows), mesenteric edema (white arrows), and focal fluid collection in the adjacent peritoneal cavity (arrowhead).",,,,
,,,,"transverse view of contrast-enhanced computed tomography scan showing the presence of fluid within the abdominal cavity and a significantly distended fluid-filled uterus. in addition, free air was detected in the abdominal and uterine cavities. white arrow indicates the perforation site.",,,,,
,,,,,,computed tomography angiography of the abdomen showing superior mesenteric artery narrowed at its origin with normal distal course. also seen is coeliac artery narrowed just beyond its origin with post-stenotic dilatation,,,
computed tomography angiography (cta) scan of the chest before initiation of olaparib therapy,,,,,,,,,
,,,computed tomography of the brain showing a cerebral infarction in the right hemisphere.,,,,,,
,total body computed tomography (ct) showing a lung mass located in the apical and postero-basal portion of the right lung.,,,,,,,,
,,,,,coronal ct abdomen and pelvisa coronal view illustrating air in the bilateral renal pelvises with extension into the ureters (arrows) without parenchymal renal involvement. the fat-stranding of the bilateral kidneys is illustrated (asterisks). there is also air at the left ureterovesicular junction (arrowhead).ct = computed tomography,,,,
"chest computed tomography scan demonstrating a lobular-shaped focal ground-glass opacity in the posterior segment of the right upper lung (arrow). a, anterior; p, posterior.",,,,,,,,,
,,,,,,coronary reconstruction of contrast-enhanced computed tomography scan 4 months after operation. the brachiocephalic trunk and right subclavian artery were patent and the aneurysm remained thrombosed.,,,
,,,,,,,,contrast-enhanced computed tomography (cect) showed a splenic flexure colon tumor at the staple line (arrows).,
axial computed tomography (ct) chest showing nodular calcification between chest wall and the scapula (as indicated by the arrow). the lesion is predominantly homogenous suggesting lower metabolic activity,,,,,,,,,
,,,,enhanced abdominal computed tomography (ct) findings. an abdominal ct scan in our 78-year-old female patient with right lower quadrant pain revealed a well-encapsulated cystic mass with intraluminal gas (white arrows) and calcifications (black arrows) in expected region of the appendix.,,,,,
,,,,"pre-operative abdominal helical computed tomography (ct): horizontal view 1. on horizontal views, a closed loop of intestine (4) was identified against the liver (s4 and s5); the membranous structure (5) was identified as the falciform ligament in the center of the abdomen. on the left side, dilation of proximal intestines (6) and collapse of distal intestine (7) was seen.",,,,,
,,,,,coronal computed tomography images depicting the appendiceal duplication (arrows).,,,,
,,,,abdominal computed tomography scan showing air in the mesentery (arrow) and around the intestine,,,,,
contrast-enhanced computed tomography of chest shows thin walled air-filled cavitary lesion in left lower lobe during the course of pulmonary hydatid disease,,,,,,,,,
,,,,,,,computed tomography scan showing biventricular thrombi (white arrow) and a low attenuation lesion in the right lobe of the liver (black arrow).,,
computed tomography scan of the chest showing a 7.0 × 3.2 cm2 pleural-based left upper lobe soft-tissue mass.,,,,,,,,,
chest computed tomography at the patient’s first admission. chest computed tomography at the patient’s first admission revealed ground-glass opacity in the right anterior basal segment.,,,,,,,,,
,,,,,,,,computed tomography scan showing a large adrenal tumor having fatty tissues on the right side,
,,,,computed tomography angiogram of aorta demonstrating intraluminal thrombus of abdominal aorta.,,,,,
,,,axial computed tomography scan of the brain,,,,,,
,,,"63-year-old woman with abdominal pain diagnosed with angiomyolipoma of the kidney and liver, and islet cell tumor of the pancreas. axial computed tomography image of the brain shows calcified subependymal nodules (arrows).",,,,,,
"chest computed tomography scan of the patient demonstrating a well-circumscribed, non-calcified left upper lobe nodule.",,,,,,,,,
,,,,,,,computed tomography scan showing an abnormal perfusion with multiple small ill-defined hypodensities of the right hepatic lobe.,,
,,,,"axial abdominal computed tomography scan. a lobulated hypovascular mass of 12 cm was observed between the stomach and left kidney of the patient, which was accompanied by central dense calcification.",,,,,
,,,,,coronal computed tomography (ct) image showing the possible connection of the mass to the thyroid gland.,,,,
,,,,,,,,,"a ct scan was obtained after surgery. the outcome was unremarkable with normal liver function. the resected area is highlighted by the hemostatic clips left in situ. ct, computed tomography."
contrast-enhanced computed tomography of the chest showing a large filling defect in the left pulmonary interlobar artery. arrowhead indicates the pulmonary embolus.,,,,,,,,,
,a cystic lesion revealed by computed tomography of the left lung. it consists of many small vesicles situated in a dense connective tissue stroma.,,,,,,,,
,,,,,,,"thoracic computed tomography of case 1, revealing a solid 18 × 5 mm mass in the right main bronchus (bc) and post-obstructive atelectasis in the right upper lobe",,
,,,,abdominal contrast-enhanced computed tomography axial slice in the venous phase performed on pod 19 showing thrombosis of the proximal splenic vein (open white arrow) and distal peripancreatic fluids (filled white arrow).,,,,,
,,,,,,sagittal view of arterial phase of computed tomography angiogram showing thrombus in suprarenal aorta extending into the left renal artery,,,
,,,,,,,"computed tomography showing multiple solid lesions suggestive of metastases in both lobes of the liver, and a thickening of the medial wall-less curvature of the stomach and lymph node swelling around the gastro-hepatic ligament suspicious of gastric neoplasia.",,
,,,,,,,a repeat computed tomography scan performed a week later showed that the sizes of the multiple low-density areas in the left lobe of the liver significantly reduced,,
computed tomography (ct; axial view) of the chest showing left-sided pleural effusion and a calcified pericardium (arrows).,,,,,,,,,
,,,,,,computed tomography angio + 3-dimensional heart: distal extent of dissection just proximal to right main renal artery.,,,
,,,,representative slice from abdominal computed tomography imaging on admission.,,,,,
,,,,abdominal computed tomography on admission shows hepatic atrophy and peripheral edema of the portal trunk and gallbladder.,,,,,
,,,,,,,,computed tomography depicting encasement of optic nerve by tumor.,
,,,initial brain computed tomography that shows acute and chronic subdural hemorrhage over the right cerebral hemisphere that cause a right-to-left midline shift and intraventricular hemorrhage in both lateral ventricles.,,,,,,
,,,,,,,,"distal femur ct biopsy.notes: image-guided biopsy was carried out under computed tomography guidance by the musculoskeletal radiologist following discussion at the multidisciplinary sarcoma tumor board. the needle trajectory, arrived at upon discussion with the surgical team, is evident.abbreviation: ct, computed tomograhpy.",
high-resolution computed tomography image of the chest at presentation (middle-lung zones). a mass-like lesion with nodules in the right (red arrows) and left (yellow circles) lung is shown.,,,,,,,,,
computed tomography chest showing left sided pleural effusion and apical pulmonary nodular opacity,,,,,,,,,
,,,,"abdominal computed tomography, interpreted as a large soft tissue density extending along the entire length of the common bile duct, which is mildly enlarged, and soft tissue density within the gallbladder.",,,,,
,,,,,,,high resolution computed tomography scan revealed diffuse poorly defined centrilobular nodules with patchy ground-glass opacity predominantly on the lower lobes and right side.,,
,,,,,,,"computed tomography showed right hilar and mediastinal lymph node enlargement, and consolidation in the right middle lobe.",,
,,,,,,,,contrast-enhanced computed tomography scan shows metastatic tumors in the liver and spleen (arrows).,
computed tomography scan of chest showing moderate right pleural effusion and mediastinal mass.,,,,,,,,,
,,,,,coronal view computed tomography scan showing elongated right styloid process measuring 33 mm,,,,
,,,"case 1. a non-contrast head computed tomography reveals left epidural air and fluid collection along the frontotemporal convexity, slit-like ventricles, and mild left to right midline shift. not shown is decreased patency of basal cisterns and an oblong midbrain.",,,,,,
high resolution computed tomography of chest shows air space consolidation in right upper lobe with ground glass opacity in the posterior segment of right upper lobe,,,,,,,,,
,,,,coronal computed tomography images showing multiple solid and cystic intra-abdominal lesions marked with an arrow with associated calcification in the bowel wall.,,,,,
,,,,,,,,,contrast enhanced computed tomography (cect) showing a large hypodense lesion measuring 10.52 cm × 9.9 cm × 6 cm in the subhepatic region and arising from the segment v of the liver.
chest computed tomography showing a nodule at the junction of the right and left bcv (arrow).,,,,,,,,,
,,,,,,,computed tomography scan of the abdomen shows a large liver mass with heterogeneous enhancement in the right hepatic lobe.,,
,,,brain lesion in computed tomography (ct). low-density areas (arrows) in the right putamen and temporal lobe are observed.,,,,,,
,,,axial images of computed tomography (ct) of brain showing bilateral hypodensities of the caudate nuclei.,,,,,,
