mri + t1-weighted and chest,mri + t1-weighted and brain,mri + t1-weighted and abdominal,mri + t1-weighted and coronal,mri + t1-weighted and artery,mri + t1-weighted and lobe,mri + t1-weighted and tumor,mri + t1-weighted and liver
,,,"mri examination t1-weighted image, coronal cut for rotational rebuild with paramagnetic contrast, showing a fusiform aneurysm extending from the post emerging segment of the subclavian artery and demonstrating mural thrombi and misuse of adjacent structures. note also topography of vagus nerve. abbreviation: pl, posterior left; pr, posterior right.",,,,
,,,"coronal mri of the pelvis, t1-weighted image. the intraosseous abnormality characterized by intermediate to low signal on t1 involving the right femur (dotted circle) and the right ilium (arrow) represents the fibrous dysplasia lesions of the involved bones.",,,,
,t1-weighted brain mri from patient showing infarction in right side of pons,,,,,,
,,,t1-weighted coronal mri scan showing a pituitary tumor in a child,,,,
,,,"coronal t1-weighted mri of the pelvis and hips - initial imaging. left obturator externus and adductor brevis muscles (yellow arrow), and the right obturator externus, iliacus and iliopsoas muscles (red arrow).",,,,
,,,,,"axial t1wi post gadolinium image from orbital mri study performed for globe pain and acute visual loss.thickening and enhancement of left retina, posterior choroid and optic disc are observed, suggestive of posterior uveitis, which may be associated with inflammatory conditions such as sarcoidosis or infections such as toxoplasma or cytomegalovirus. underlying neoplasm, e.g., metastasis was less likely as no focal lesion was detected. patient was not available for follow-up. t1w1 = t1-weighted image",,
,"neuro-sarcoidosis: multiple granulomas in the white matter of both brain hemispheres (contrast enhanced t1-weighted mri image). focal parenchymal lesions are t2-hyperintense and t1-isointense (with homogeneous contrast enhancement, as in this figure).",,,,,,
,,,"coronal t1-weighted mri showing the presence of a septum within the fourth ventricle and diffuse arachnoid enhancement in the medulla oblongata, pons and cerebellar hemispheres.",,,,
,t1-weighted coronal mri pituitary – view at presentation showing large 48×52×28 mm midline hypervascular cystic sellar mass causing significant brain oedema and extending into the suprasellar region with cavernous sinus invasion and chiasmal compression.,,,,,,
,,,t1-weighted coronal mri pituitary – view following 6 months of cabergoline treatment showing significant tumour shirinkage.,,,,
,,,preoperative mri scan. t1-weighted coronal mri scan demonstrating bilateral on of the femoral head.,,,,
,,,,,,,56-year-old man with intrahepatic biliary intraductal oncocytic papillary carcinoma. axial t1-weighted mri of the liver demonstrates the soft tissue component is of intermediate signal.
,,,"mri examination performed at 25 months after surgery. t1-weighted image after contrast administration, coronal plane: in the sphenoid sinus there is the implanted muscle and fascia, the enhancement is slighter than in the last mri.",,,,
,,,"mri examination performed at 12 months after surgery. t1-weighted image after contrast administration, coronal plane: in the sphenoid sinus there is implanted muscle and fascia.",,,,
,,,,,,t1-weighted gadolinium-enhanced mri performed 6 months after surgery showed no evidence of residual tumor.,
,,,,,pituitary magnetic resonance imaging (mri). hypophysis mri image shows swelling of the hypophysis stalk. a t1-weighted image shows disappearance of brightness of the posterior lobe of the hypophysis.,,
