mri + t2-weighted and chest,mri + t2-weighted and lung,mri + t2-weighted and lungsbrain,mri + t2-weighted and abdominal,mri + t2-weighted and coronal,mri + t2-weighted and artery,mri + t2-weighted and lobe,mri + t2-weighted and tumor,mri + t2-weighted and liver
,,,,,,,"axial t2-weighted image of mri showing hyperintensity at the center and hypointensity at periphery, suggesting peripheral tumor location with central intratumoral hematoma. mri = magnetic resonance imaging.",
,,,,coronal t2-weighted mri shows a lack of normal signal void of the left internal carotid artery.,,,,
,,,,,,magnetic resonance imaging (mri) of the cns lesion. mri revealed hyperintense lesions with t2-weighted fluid-attenuated inversion recovery (flair) in the right occipital lobe.,,
,,,,,,,mri of the patient's foot shows a hyperintense tumor mass on t2-weighted spin-echo sequence images compared to surrounding musculature. the skip lesion of the talus displays a hyposignal on t2-weighted sequences.,
,,,,"mri, coronal section, t2-weighted image: the enlargement of the optical chiasm can easily be seen.",,,,
,,,,,,,"magnetic resonance image scan of the neck. fast t2-weighted mri scan demonstrates the right glomus jugulare tumor (adjacent to right cochlea, arrow), and bilateral glomus vagale tumors (arrows).",
,,,t2-weighted sequence of abdominal mri where small bilateral renal cyst and pelvic ecstasy are observed.,,,,,
"t2-weighted axial chest mri reveals no invasion by tumor of the underlying ribs or intercostal muscles, but a widely negative deep margin cannot be achieved without chest wall resection.",,,,,,,,
,,,,"coronal t2-weighted mri of the abdomen in a 21-year-old man with dsrct. there is a complex lesion in the gallbladder fossa, which demonstrates a measurable soft tissue component with a peripheral myxoid degeneration. there is no direct invasion into the adjacent right lobe of liver. the soft tissue returns signal that is marginally higher than the adjacent hepatic parenchyma and isointense to the spleen, with characteristic t2 fluid signal returned from the cystic component",,,,
,,,,"mri t2-weighted sequence, coronal plane image. congenital scoliosis from hemivertebra patient # 21. mri demonstrates convex zone deficiency in the vertebral body growth plate.",,,,
,,,,orbital mri; coronal view of t2-weighted mri hyperintense cerebrospinal fluid-intensity dilated sheath surrounding normal optic nerves (bull's eye),,,,
,,,,,,t2-weighted cerebral mri scan. there are confluent white matter lesions in all cerebral lobes and signs of brain atrophy.,,
,,,,"a coronal t2-weighted mri of the head and neck region (36th week of pregnancy). the left parotid mass is seen distorting the pharynx. the outline of the heterogeneous lesion is clearly demarcated, and tissue planes preserved.",,,,
sagittal oblique t2-weighted mri of the chest showing a heterogeneously hyperintense filling defect in the inferior vena cava from the level of the renal veins into the right atrium. no hepatic mass was present.,,,,,,,,
,,,,56-year-old man with intrahepatic biliary intraductal oncocytic papillary carcinoma. coronal tse t2-weighted mri of the liver demonstrates the soft tissue component is hypointense on t2. note the aneurysmally dilated cystic component communicating with adjacent dilated intrahepatic biliary tree (black arrow).,,,,
,,,,preoperative t2-weighted mri coronal cut of right shoulder shows partial-thickness ss lesion of high grade.,,,,
,,,,coronal t2-weighted (t2w) magnetic resonance imaging (mri) pelvis showing hypointense lobulated solid mass displacing the bladder laterally to the right with a cystic mass adherent to it (arrow),,,,
,,,,"t2-weighted mri, coronal section, showing right hippocampal atrophy in a 36-year-old woman affected by non-classic cah (patient no. 23)",,,,
,,,,coronal view in t2-weighted mri after simple elbow dislocation: the lcl was rated to be partially torn (2×) and completely torn (2×),,,,
,,,,metastasis. coronal t2-weighted mri sequence. patient with breast neoplasm presenting two lesions with perilesional edema.,,,,
,,,,"mri, t2-weighted coronal image: hyperintense signal on bilateral occipital and cerebellar regions.",,,,
,,,,coronal t2-weighted fat-suppressed mri of the knee; there are two moderately enlarged lymph nodes (white arrows) present in the popliteal fossa.,,,,
,,,,"coronal mri t2-weighted image without fat saturation showing significant volumetric reduction of the adq muscle, with complete fatty infiltration of its fibers (grade iv) secondary to chronic denervation (> 1 year).",,,,
,,,,"coronal mri t2-weighted image.abbreviation: mri, magnetic resonance imaging.",,,,
,,,,coronal t2-weighted mri in a 30.5-year-old woman affected by non-classic cah. the right hippocampus is moderately round-shaped and its internal structures are not identified (patient no. 21),,,,
,,,prenatal mri sagittal t2-weighted image through the fetus demonstrates large abdominal mass displacing liver (blue arrow) and kidney (red arrow).,,,,,
,,,,,,,preoprerative mri. magnetic resonance imaging of the right knee showed a 2.5 cm tumor located in the dorsal area of the posterior cruciate ligament (arrow). the tumor exhibited a fluctuating high and low signal intensity with low signal septa around the tumor on t2-weighted images.,
,,,,brain magnetic resonance imaging (mri) – coronal t2-weighted mri acquisitions demonstrate hyperintense signals in the left lenticular and caudate nuclei,,,,
,,,,"mri of both lower legs: the t2-weighted coronal images show metaphyseal fractures involving distal left femur and proximal bilateral tibias with extensive periosteal hemorrhage or edema, favored child abuse.",,,,
