x-ray and chest,x-ray and brain,x-ray and abdominal,x-ray and coronal,x-ray and artery,x-ray and lobe,x-ray and tumor,x-ray and liver
,,free air beneath the diaphragm at abdominal x-ray film,,,,,
"chest x-ray, which confirmed the position of guidewire, extending from the right internal jugular vein up to inferior vena cava",,,,,,,
"chest x-ray findings. chest radiograph revealed an engorged pulmonary trunk with an abrupt cutoff of pulmonary vascularity in the distal portions bilaterally, indicative of the ""westermark sign"" (arrows).",,,,,,,
,,plain abdominal x-ray after 3 days,,,,,
"chest x-ray, pa, showing the position of the gun nails",,,,,,,
chest x-ray showing right-sided pneumothorax.,,,,,,,
chest x-ray on the day of admission showing diffuse bilateral haziness and air bronchogram.,,,,,,,
chest x-ray of the patient. a chest x-ray showed a faint patchy opacity over the periphery of the right upper lung zone (black arrow).,,,,,,,
x-ray of the chest (a) and right shoulder joint (b) showing metastatic changes,,,,,,,
chest x-ray 17 days after admission.,,,,,,,
anteroposterior x-ray chest and neck,,,,,,,
"chest x-ray, posterior-anterior view after the surgical removal of the intermediate lobe of the right lung. drain in the right pleural cavity. the postoperative chest radiograph revealed no pneumothorax.",,,,,,,
,,simple abdominal x-ray presents multiple dilated small bowel loops.,,,,,
,,an abdominal x-ray showing a diffuse opaque area in the upper abdomen without a gastrointestinal gas shadow; this finding was accompanied by a downward dislocation of the transverse colon,,,,,
chest x-ray postero-anterior view shows bilateral lower zone consolidation with bilateral pleural effusion,,,,,,,
,,abdominal x-ray shows nonspecific gas distension in the colon.,,,,,
chest x-ray pa view showing bilateral reticulo-nodular infiltrates,,,,,,,
a full range of cardiac support technology. the plain chest x-ray shows a jarvik pump in the apex of the left ventricle with power cable passing through the neck to the skull pedestal. there is an implantable cardio-defibrillator and dual chamber pacemaker with additional wire for cardiac resynchronisation therapy. there are drug eluting stents in the left coronary artery. bone marrow stem cells now add a further dimension to supportive therapy.,,,,,,,
,,abdominal x-ray (ap view) showing the needle in the region of the liver,,,,,
chest x-ray: kerley-b lines and mild bilateral pleural effusion.,,,,,,,
the patient's normal chest x-ray,,,,,,,
pa chest x-ray. the left diaphragm cannot be seen. there are heterogeneous opaque areas with a lost view of parenchyma on the left,,,,,,,
chest x-ray 5 h after surgery demonstrates complete opacification of the left hemothorax with shift of the mediastinum to the right.,,,,,,,
chest x-ray – extensive bilateral shadows on the lower lung fields,,,,,,,
chest x-ray showing a mass in the left upper lung field (palla's sign).,,,,,,,
chest x-ray showing malpositioned intercostal drainage tube in a case of pleural effusion on left side,,,,,,,
preoperative chest x-ray showed no abnormal features,,,,,,,
chest radiograph showing resolution of pulmonary oedema with treatment. x-ray shows pulmonary artery catheter in place,,,,,,,
,,erect abdominal x-ray showing multiple air fluid levels in the small bowel of the patient.,,,,,
chest x-ray of the patient (anteroposterior view) shows a small and bell-shaped thoracic cage (white arrows) with a round heart (black arrow in the middle). thin ribs and slender long bones are also visible (black arrows on the ribs).,,,,,,,
chest x-ray revealed a nodule without cavitations to the upper lung lobe of the left lung.,,,,,,,
chest x-ray pa view: homogenous opacity of the left side with same side mediastinal shifting–probably left whole lung collapse,,,,,,,
chest x-ray prior to last discharge with clear distal lung fields and dilated stent,,,,,,,
,,plain abdominal x-ray showing retained capsule.,,,,,
chest x-ray immediately after orotracheal intubation showing diffuse bilateral opacities that are compatible with primary graft dysfunction after lung transplantation,,,,,,,
"(front view) chest x-ray showing an air-density band around the mediastinum (arrows), characterizing pneumomediastinum, which extends to the cervical region and chest wall, dissecting along the fibers of the pectoral muscles (dashed arrow). note the extensive involvement of the lungs by areas of consolidation and reticular opacities, distributed in the lung periphery, especially on the right side, where one can also see a small pneumothorax (arrowheads).",,,,,,,
,,follow-up x-ray 2 weeks after presentation. intra-abdominal free gas had been spontaneously absorbed and pi was markedly improved.,,,,,
chest x-ray with icd,,,,,,,
chest x-ray showing a right infrahilar tumor.,,,,,,,
chest x-ray obtained preoperatively demonstrates hypoinflation of the right lung,,,,,,,
,,,,,"thoracic x-ray: multiple pulmonary nodules are identified, with upper lobe predominance. note that some nodules show cavitation.",,
chest x-ray: bilateral pleural effusions and extensive interstitial reticulo-nodular shadowing.,,,,,,,
"chest x-ray prior to removal, patient lying down.",,,,,,,
admission imaging. chest x-ray with evidence of bilateral airspace opacities.,,,,,,,
a posterior to anterior view chest x-ray (cxr-pa) showed homogenous opacity in the bilateral lower lung field along with blunting of both costophrenic angles (cpa) suggestive of bilateral pleural effusion.,,,,,,,
"post-operative chest x-ray image of the same child who underwent thoracoscopic repair for congenital diaphragmatic hernia and the contents of hernia were identified as intestinal loops, spleen and left kidney. the image shows an intercostal drain in situ, right apical lung field to be clear and presence of fundic gas bubble below the diaphragm confirming stomach to be normally placed",,,,,,,
chest x-ray showed left atrial venting cannula insertion through right femoral vein.,,,,,,,
chest x-ray at admission at the emergency ward showing a pneumomediastinum (closed arrows) and silhouette sign over the right heart border (open arrow). no pleural effusions were observed in the costolateral sinuses.,,,,,,,
chest x-ray shows bilateral chest tubes and extensive surgical emphysema,,,,,,,
"x-ray image of chest in p-a projection. patient aged 52 with sarcoidosis diagnosed several months previously, no ailments at present, admitted to hospital for further examination to evaluate disease activity. increased interstitial changes of lungs, in middle-upper pulmonary fields, partially fusing.",,,,,,,
chest x-ray following insertion of right chest drain. very low insertion of this chest tube is noted.,,,,,,,
x-ray chest pa showing cavity with fluid level,,,,,,,
