mri + t1-weighted,mri + t2-weighted,mri,x-ray,computed tomography
"post-treatment mriaxial t1-weighted, contrast-enhanced image showing the same lesion as figure 3.","mri after 5 months, t2-weighted image.",an example of mri image that takes advantage of joint effusion as contrast material in acute scenario. 57x46mm (150 x 150 dpi).,"plain abdomen x-ray: multiple air levels at the mid-abdomen (arrows), no radiopaque shadow, and no air under the diaphragm.",computed tomography scan in axial view showing obliteration of the left maxillary sinus
t1-weighted magnetic resonance imaging scan of our patient. axial spin echo t1-weighted pre-contrast magnetic resonance imaging (mri) scan of the left knee reveals two well-delineated masses (arrows) with a homogeneous low signal intensity in the lateral retinaculum and in the lateral tibia plateau.,"axial t2-weighted mri demonstrates normal basal ganglia, thalamus and cerebellum (arrows) with mild hyperintensity of the cerebral cortex and white matter (asterix).",fourth patient’s mri,ap pelvis x-ray obtained 6 weeks from initial presentation which shows early femoral head collapse.,axial contrast-enhanced computed tomography image of the abdomen 3 months after anti tuberculous treatment showing complete resolution of the lesions
"mri examination t1-weighted image, coronal cut for rotational rebuild with paramagnetic contrast, showing a fusiform aneurysm extending from the post emerging segment of the subclavian artery and demonstrating mural thrombi and misuse of adjacent structures. note also topography of vagus nerve. abbreviation: pl, posterior left; pr, posterior right.",mri (cross-sectional view) (arrow) showing t2-weighted hypointense lesion within the pancreatic body,mri showing high signals involving the superior sagittal sinus thrombosis on tw1.,x-ray control of calcaneus drilling,postoperative computed tomography scan
"coronal mri of the pelvis, t1-weighted image. the intraosseous abnormality characterized by intermediate to low signal on t1 involving the right femur (dotted circle) and the right ilium (arrow) represents the fibrous dysplasia lesions of the involved bones.","axial t2-weighted image of mri showing hyperintensity at the center and hypointensity at periphery, suggesting peripheral tumor location with central intratumoral hematoma. mri = magnetic resonance imaging.","solid—cystic teratoma containing different types of tissue like fat, albuminous liquid and other solid parts (mri, t1-gradient echo sequence, coronal).",free air beneath the diaphragm at abdominal x-ray film,"computed tomography scan obtained on december 24, 2014 (7 days before treatment).notes: scan demonstrates a mass in the upper lobe of the left lung, multiple enlarged lymph nodes in the mediastinum, and pleural effusion; arrow indicates abundant pericardial effusion around the pericardium."
t1-weighted brain mri from patient showing infarction in right side of pons,coronal t2-weighted mri shows a lack of normal signal void of the left internal carotid artery.,contrast mri head axial section showing an irregularly enhancing mass in the right medial temporal lobe anteriorly in the close proximity to the cavernous sinus and oculomotor nerve (arrow).,x-ray arthrogram showing mild contrast tracking along the proximal lateral aspect of the femoral component.,transverse view of lung using computed tomography. leukemic infiltration is seen.
sagittal t1-weighted fast spin echo magnetic resonance imaging (mri) of the right knee taken after initial presentation at the primary care clinic. the medial meniscal bucket-handle tear and knee effusion are shown.,magnetic resonance imaging (mri) of the cns lesion. mri revealed hyperintense lesions with t2-weighted fluid-attenuated inversion recovery (flair) in the right occipital lobe.,"mri showing that the mass was greatly enhanced, with a clear portion in the nearby tissues.mri showing that the mass was greatly enhanced, with a clear portion in the nearby tissues",pelvic x-ray hours after the ct showed the gastric band and its connecting tube in the lower pelvis,"computed tomography axial section after injection of contrast medium in parenchymal time showing a large thrombus in the left renal vein extending from the segmental renal veins to the inferior vena cava, complicated by cortical infarction."
t1-weighted cardiac mri short axis view demonstrating early enhancement ratios in the posterior epicardium and myocardium soon after gadolinium injection with sparing of the subendocardium (blue arrow).,"axial fat-suppressed t2-weighted mri showed subcutaneous oedema and interfascial plane swelling at the right gluteal region, as well as a subcutaneous fibrogranulation tract (arrow) that corresponded to the acupuncture insertion tract.","postoperative lateral mri of a female patient, three months after surgery.","chest x-ray, which confirmed the position of guidewire, extending from the right internal jugular vein up to inferior vena cava","plain radiographs, though less sensitive than computed tomography, are an acceptable screening examination. a calcific focus is visible just anterior to c1."
"axial t1-weighted mri, showing enhancement of the inner layer of thickened meninges following gadolinium administration",t2-weighted magnetic resonance imaging (mri) of the lumbar spine. sagittal image showed a cyst in the ventrolateral epidural space of the 5th lumbar vertebral (l5) level that communicated with the adjacent 4th lumbar and 5th lumbar intervertebral disc (arrow).,mri of the brain showing no mass or enhancing lesion.,hand x-rays showing dense lines at the end of radius and ulna (white arrowheads).,abdominal computed tomography reveals an ill-defined hypodense mass approximately 3.0 × 1.6 cm in diameter in the pancreatic tail.
t1-weighted coronal mri scan showing a pituitary tumor in a child,mri t2-weighted imaging: central low-signal-intensity due to the extinguished cystic membrane and a more hypointensive rim of the cyst due to wall calcification.,surveillance-enhanced mri scan showing enlargement of the right adrenal gland seven months after radical cystectomy.,"preoperative x-ray, showing osteoarthritis of hip joint.",abdominal computed tomography (sagittal reconstruction): a: desmoid-type fibromatosis; b: sigmoid colon involved; c: ileal loop involved.
"cervical–thoracic spinal mri in an nmo patient. on a sagittal 3-mm-thick t1-weighted image after administration of gadolinium, a strongly enhancing region (red arrows) can be seen. the edema is shown by yellow arrows of the medulla and the t1 hypointensities (arrowheads) in the medulla.","t2-weighted mri demonstrates disc protrusion at c3-c4, c4-c5, and c5-c6 and corresponding spinal canal stenosis (preoperative mri). arrow shows the lesion at the c4-5 level before the operation.","mri scan showing the prostatic neoplasm, without a neoplasm of the bladder or other areas of the urethra, but with skeletal metastasis.",tx-ray of knee in profile showing patellar agenesis,a computed tomography scan showing a mass in the gallbladder.
"coronal t1-weighted mri of the pelvis and hips - initial imaging. left obturator externus and adductor brevis muscles (yellow arrow), and the right obturator externus, iliacus and iliopsoas muscles (red arrow).",mri of the patient's foot shows a hyperintense tumor mass on t2-weighted spin-echo sequence images compared to surrounding musculature. the skip lesion of the talus displays a hyposignal on t2-weighted sequences.,"coronal thoracic spine mri image, t2w. abnormal high signal in t5 and t8 vertebral bodies with right atypical thoracic scoliosis.","chest x-ray findings. chest radiograph revealed an engorged pulmonary trunk with an abrupt cutoff of pulmonary vascularity in the distal portions bilaterally, indicative of the ""westermark sign"" (arrows).",computed tomography with contrast medium (portal phase). the presence of abscess was suspected at the right lobe of the liver.
