Word,Count
the,96478
of,62770
and,29196
a,25672
in,25458
with,22907
showing,17644
left,13583
right,13321
to,10656
ct,9862
image,8772
is,8273
shows,7563
at,7138
scan,7136
on,6260
computed,6083
tomography,6064
chest,5734
mass,5441
after,5392
was,5292
axial,5241
radiograph,5153
an,4877
from,4500
view,4016
lesion,3880
x-ray,3810
mri,3764
patient,3676
artery,3441
by,3365
contrast,3292
demonstrating,3074
anterior,3061
as,3057
lateral,3016
coronal,2935
abdominal,2797
arrow),2656
magnetic,2655
resonance,2642
(arrow),2587
no,2520
posterior,2479
large,2437
bilateral,2398
sagittal,2395
are,2384
showed,2378
(arrow).,2297
imaging,2284
(white,2237
pulmonary,2230
lower,2193
for,2151
upper,2130
this,2095
bone,2059
wall,2020
small,1998
abdomen,1993
seen,1944
multiple,1909
arrow).,1904
ultrasound,1901
into,1900
lung,1869
tumor,1796
that,1778
distal,1764
within,1746
between,1697
demonstrates,1686
lobe,1674
postoperative,1673
normal,1664
brain,1655
level,1654
which,1607
tissue,1599
there,1508
both,1479
coronary,1473
be,1462
proximal,1461
cystic,1457
fracture,1433
months,1406
contrast-enhanced,1401
preoperative,1394
area,1388
note,1352
were,1326
case,1326
arrow,1315
liver,1306
line,1298
superior,1295
through,1291
vein,1283
region,1283
t2-weighted,1280
head,1279
signal,1276
renal,1273
femoral,1272
revealed,1269
internal,1268
soft,1249
side,1213
(black,1204
also,1199
×,1194
pleural,1187
fluid,1186
inferior,1185
angiography,1184
cm,1176
cervical,1148
de,1139
enhancement,1137
white,1126
pelvis,1117
without,1117
transverse,1101
two,1097
=,1097
2,1060
panoramic,1059
(arrows),1059
–,1055
thickening,1055
section,1047
air,1045
or,1031
aortic,1017
lesions,1000
body,996
medial,991
t1-weighted,981
not,980
angiogram,978
hepatic,972
enhanced,972
images,965
dilated,957
t2,953
reveals,953
plain,952
bowel,948
diffuse,944
1,942
neck,938
spine,934
anteroposterior,908
sinus,907
artery.,894
central,876
middle,874
mr,872
thoracic,865
3,864
first,863
revealing,863
fat,862
ventricular,861
segment,860
pelvic,860
common,857
angle,856
pancreatic,855
carotid,846
(arrows).,845
extending,840
mm,839
lymph,837
flow,836
complete,833
duct,833
catheter,830
performed,829
adjacent,825
areas,822
joint,819
kidney,810
hip,809
involving,806
along,804
due,804
bladder,800
cyst,799
initial,797
ventricle,796
space,794
increased,789
vertebral,788
maxillary,776
high,768
spinal,767
enhancing,758
intensity,754
presence,752
using,745
frontal,742
second,741
well,741
consistent,741
male,740
defect,738
part,729
axis,725
one,724
during,712
t1,707
follow-up,705
aspect,701
severe,700
enlarged,699
iliac,695
heterogeneous,692
following,688
obtained,684
same,682
can,682
effusion,681
appearance,679
stent,679
figure,679
located,674
it,672
has,672
(red,672
aorta,669
mediastinal,665
evidence,661
arrows),660
female,659
cavity,659
muscle,655
man,651
indicates,650
mandibular,647
measuring,647
filling,643
associated,642
diameter,642
position,640
years,638
main,633
descending,627
shown,627
surrounding,626
density,624
arrows).,620
doppler,618
valve,618
before,610
cerebral,608
la,608
day,600
taken,600
suggestive,600
bile,599
measurement,599
solid,598
post,597
oblique,597
marked,595
aneurysm,594
woman,593
venous,593
ap,592
view.,590
demonstrated,590
nerve,589
around,588
type,588
irregular,588
vena,587
mass.,583
apical,578
(ct),573
4,572
weighted,568
6,568
treatment,565
portal,563
stenosis,561
extensive,560
significant,557
portion,556
compression,551
lumbar,549
canal,547
collection,546
but,543
point,541
low,540
had,538
calcification,538
mild,537
size,537
atrium,534
third,533
thorax,533
image.,532
mesenteric,531
cord,527
free,526
edema,525
plane,523
show,522
gastric,522
hypoechoic,522
dilatation,522
uptake,520
abnormal,520
root,517
its,517
cortical,517
abscess,517
ultrasonography,515
radiography,514
temporal,513
resolution,511
three,510
-,510
measured,509
mitral,508
arrows,508
changes,507
injection,506
long,506
noted,503
subcutaneous,503
knee,500
"arrow),",499
echocardiography,496
visible,496
over,496
acute,494
thrombus,494
distance,494
periapical,491
site,489
breast,488
5,487
hyperintense,487
colon,486
cardiac,483
focal,480
atrial,480
reconstruction,479
(a),477
short,474
weeks,469
peripheral,467
nodule,466
arterial,464
splenic,462
endoscopic,459
lesion.,458
stomach,457
thyroid,456
tip,453
blood,453
findings,453
red,451
external,450
tube,449
du,447
adrenal,446
extension,445
radiographic,445
total,445
examination,441
color,440
surface,440
observed,440
phase,439
view),439
scan.,438
needle,438
than,435
tomographic,430
echocardiogram,429
intravenous,429
hematoma,428
bony,427
loss,425
nodules,425
lobe.,425
end,419
well-defined,419
transthoracic,418
heart,416
pericardial,413
more,405
node,405
arising,404
occlusion,404
montrant,404
consolidation,404
et,403
disease,400
fistula,399
projection,399
computerized,399
border,398
femur,396
septal,394
transesophageal,394
absence,392
indicating,391
radiograph.,391
gland,388
en,387
vessels,387
residual,385
gas,385
sequence,384
used,382
skull,382
(b),381
subclavian,380
study,380
placed,380
patient.,378
tumour,378
nodes,377
sign,377
placement,377
nodular,376
hypodense,375
year,373
implant,373
longitudinal,372
vascular,372
disc,370
up,367
reduction,367
tendon,367
typical,366
ascending,365
thickened,365
old,364
volume,364
linear,364
admission,364
lumen,363
gallbladder,363
thickness,362
present,362
cava,360
opacity,360
tooth,360
narrowing,360
base,360
surgery,360
metastatic,357
days,356
cranial,356
length,355
time,355
midline,354
basal,353
who,353
post-operative,352
prior,351
x,350
tibial,350
black,349
structure,348
pattern,346
defined,346
tomography.,346
example,344
vein.,344
(yellow,344
pole,343
location,342
(arrow,342
slice,341
side.,340
wall.,339
suggesting,339
cell,337
plate,337
urinary,337
retroperitoneal,336
uterine,335
mandible,335
ventricle.,335
pancreas,335
thin,334
confirmed,331
"artery,",331
dorsal,330
near,329
causing,329
arteries,328
fluoroscopic,328
enlargement,328
junction,328
optic,327
shoulder,327
surgery.,326
been,326
nasal,326
four,325
(arrowhead),323
"(arrow),",323
carcinoma,323
opacities,322
seen.,321
fixation,321
calcified,321
maximum,320
arch,319
loops,319
primary,318
obstruction,318
displacement,317
biliary,316
chamber,316
partial,315
molar,315
parasternal,314
points,314
graft,313
attenuation,313
pseudoaneurysm,313
process,312
retrograde,312
single,312
une,311
lines,309
matter,308
cerebellar,308
effusion.,307
regions,306
presented,304
involvement,303
mid,303
eye,302
barium,302
formation,302
branch,302
surgical,302
infiltration,301
radiographs,301
secondary,301
parenchyma,299
10,299
region.,299
sac,299
indicate,298
deep,298
margin,296
most,295
calcifications,295
indicated,295
"atrium,",295
ligament,294
emission,293
"ventricle,",293
echo,292
digital,292
all,291
horizontal,291
kidney.,291
right-sided,290
tract,290
diagnosed,290
window,290
zone,290
cancer,288
lung.,288
echogenic,287
chronic,287
